Date,Open,High,Low,Close,Adj Close,Volume
2022-11-24,1049.300049,1071.000000,1046.000000,1069.300049,1069.300049,2208145
2022-11-25,1070.000000,1082.900024,1060.000000,1080.150024,1080.150024,1943246
2022-11-28,1075.000000,1091.000000,1071.400024,1077.199951,1077.199951,1749691
2022-11-29,1076.099976,1085.449951,1072.800049,1074.550049,1074.550049,1233868
2022-11-30,1074.750000,1082.000000,1063.199951,1077.000000,1077.000000,3909954
2022-12-01,1091.400024,1107.949951,1088.150024,1101.500000,1101.500000,4264917
2022-12-02,1101.500000,1116.300049,1100.050049,1114.750000,1114.750000,3418928
2022-12-05,1120.000000,1120.000000,1096.250000,1099.750000,1099.750000,2760688
2022-12-06,1089.000000,1096.150024,1080.050049,1088.800049,1088.800049,1838107
2022-12-07,1086.000000,1087.300049,1074.199951,1078.050049,1078.050049,1478573
2022-12-08,1078.099976,1082.400024,1070.300049,1074.150024,1074.150024,1110431
2022-12-09,1073.949951,1075.699951,1030.199951,1035.300049,1035.300049,3138360
2022-12-12,1034.000000,1044.400024,1021.799988,1032.099976,1032.099976,1689393
2022-12-13,1039.849976,1047.449951,1030.150024,1045.750000,1045.750000,1983827
2022-12-14,1051.000000,1068.050049,1051.000000,1065.099976,1065.099976,1983937
2022-12-15,1060.000000,1060.000000,1020.250000,1022.750000,1022.750000,5184673
2022-12-16,1015.000000,1033.500000,1011.000000,1020.799988,1020.799988,2994364
2022-12-19,1019.950012,1028.099976,1009.750000,1026.699951,1026.699951,1529622
2022-12-20,1025.000000,1025.000000,1004.000000,1017.950012,1017.950012,2149130
2022-12-21,1024.500000,1030.550049,1020.250000,1026.050049,1026.050049,2037666
2022-12-22,1030.000000,1035.000000,1012.599976,1015.849976,1015.849976,1925482
2022-12-23,1005.049988,1015.500000,993.000000,995.750000,995.750000,1504806
2022-12-26,1000.349976,1006.500000,993.000000,1001.000000,1001.000000,966423
2022-12-27,1009.700012,1012.599976,993.200012,1009.549988,1009.549988,1615647
2022-12-28,1005.299988,1019.400024,1002.200012,1016.250000,1016.250000,1077963
2022-12-29,1010.000000,1015.700012,1007.000000,1013.200012,1013.200012,1977329
2022-12-30,1022.750000,1027.650024,1015.000000,1016.400024,1016.400024,1317151
2023-01-02,1017.900024,1021.849976,1005.200012,1009.500000,1009.500000,1348611
2023-01-03,1013.000000,1024.800049,1008.049988,1023.799988,1023.799988,1439615
2023-01-04,1023.799988,1029.349976,1012.099976,1020.299988,1020.299988,1702044
2023-01-05,1021.000000,1024.949951,1004.500000,1011.650024,1011.650024,1376035
2023-01-06,1009.500000,1011.650024,985.000000,986.150024,986.150024,2346808
2023-01-09,997.950012,1021.000000,995.400024,1015.250000,1015.250000,2190779
2023-01-10,1013.000000,1014.049988,999.049988,1002.650024,1002.650024,1411099
